aggregation_level,instrument_name,beginning_market_value_usd,ending_market_value_usd,trade_cashflow_usd,fees_usd,carry_actual_pnl_usd,trade_to_t1_pnl_usd,total_pnl_usd,delta_pnl_usd,gamma_pnl_usd,vega_pnl_usd,theta_pnl_usd,vanna_pnl_usd,volga_pnl_usd,explained_pnl_usd,residual_pnl_usd
INSTRUMENT,BTC-14AUG26-65000-C,2267.281277896982,9461.99712915915,506.0571812266063,0.6266765452107258,10182.714944680847,-2481.941912192073,7700.146355943563,6417.7676450199615,5533.684698319399,-119.60522676234667,-199.1179214384139,8.848294706224623,0.007122965976266276,11641.5846128108,-1458.8696681299534
INSTRUMENT,BTC-14AUG26-65000-P,-1604.4860674619704,-9.077468529791474,1167.2636140785835,0.5836318070392917,1599.2989425878038,1163.3732704229585,2762.088581203723,4625.495383984014,-4426.9477586555195,95.68418140987734,145.0565156663317,-7.078635764979698,-0.005698372781013022,432.2039882669425,1167.0949543208612
INSTRUMENT,BTC-25SEP26-58000-C,-12429.604107733958,6244.103061665835,-17069.989641287968,8.534994820643984,-6302.705077263548,7906.422605375374,1595.1825332911812,-6032.046066272042,-508.86388866138327,220.08967094590534,44.4376547477293,-93.64516416620883,-5.067755840062431,-6375.095549246061,72.39047198251228
INSTRUMENT,BTC-25SEP26-58000-P,1149.8157725202077,310.1558594347,0,0,-839.6599130855077,0,-839.6599130855077,-1073.1133822732882,424.0532405511527,-183.4080591215878,-29.127518698971645,78.03763680517403,4.2231298667186925,-779.3349528708022,-60.32496021470547
INSTRUMENT,BTC-25SEP26-72000-C,1890.8034138259718,2591.4353347784618,687.7797417791971,0.3438898708895986,2255.493121819567,-867.0814590878799,1388.0677728607975,2198.9303282483693,930.1523275638484,-644.063434634518,-51.449190112978705,-356.8670756461233,29.596155606300652,2106.299111024898,149.19401079466888
INSTRUMENT,BTC-25SEP26-72000-P,-13135.497294345741,1880.870022907573,-17395.151416940716,8.697575708470358,6552.452214169236,-8931.23631385664,-2387.481675395874,6615.681775282662,-813.8832866183673,563.5555053052033,31.28167731518535,312.2586911903579,-25.89663615551307,6682.997726319528,-130.54551215029187
INSTRUMENT,BTC-30OCT26-52000-C,-14383.298582634714,-18735.453106490786,0,0,-4352.154523856072,0,-4352.154523856072,-4320.243543100472,-166.54831606313138,149.42778643817047,20.973844874531125,-52.08395169509642,-4.948184591271861,-4373.42236413727,21.267840281198005
INSTRUMENT,BTC-30OCT26-52000-P,1274.9056804956053,491.8267153527145,0,0,-783.0789651428909,0,-783.0789651428909,-839.4168103492781,249.82247409469704,-224.1416796572557,-22.989857415189174,78.12592754264462,7.422276886907792,-751.1776688974736,-31.901296245417257
INSTRUMENT,BTC-30OCT26-78000-C,1216.6823738297421,1736.4968610975848,0,0,519.8144872678427,0,519.8144872678427,1075.1286408747965,348.8546100837014,-650.0487310669694,-23.080863979765795,-315.7163234160542,60.40085882418029,495.5381913198887,24.27629594795394
INSTRUMENT,BTC-30OCT26-78000-P,-13205.668705607299,0.0,-13601.838766775518,6.800919383387759,4455.531786112704,-4851.701847280923,-402.9709805516068,4019.7518373001544,-279.0836880669611,520.0389848535755,9.99378128720513,252.57305873284335,-48.32068705934423,4474.953287047473,-19.42150093476903
INSTRUMENT,ETH-14AUG26-1920-C,-1726.9987721337584,-141.1568830345891,-322.3731041316348,0.5799837543082539,1557.6105124922515,-294.141727524717,1262.8888012132263,3130.981873235188,-1722.077513851023,-296.444156244214,152.72165285790376,-4.540834637875824,-0.0156955670368288,1260.625325792942,296.98518669930945
INSTRUMENT,ETH-14AUG26-1920-P,1324.3756147301065,3018.7035492445393,513.8577385152813,0.25692886925764064,3706.7969673441257,-1498.6112943144117,2207.9287441604565,2387.2424389706766,1435.0645948758524,247.0367968701783,-118.85677720208486,3.784028864896521,0.013079639197357334,3954.2841620187164,-247.48719467459068
INSTRUMENT,ETH-25SEP26-1700-C,8860.947898729268,8309.37990976731,-2852.117604903483,1.4260588024517415,-2529.991777001793,-873.693816863647,-3405.1116526678916,-3143.9761580067648,208.14336244894332,365.3258321296331,-38.45155981972072,80.15522829253439,10.003010581924503,-2518.8002843734503,-11.19149262834253
INSTRUMENT,ETH-25SEP26-1700-P,-1669.2541210194538,-3326.440285736928,0,0,-1657.1861647174744,0,-1657.1861647174744,-959.7814222423898,-234.16128275506122,-410.99156114583724,36.58605655225989,-90.17463182910117,-11.253386904665067,-1669.7762283247948,12.590063607320417
INSTRUMENT,ETH-25SEP26-2100-C,-3026.3432564071413,481.0455528109642,-3967.2608870355434,1.9836304435177718,1262.5095627669393,-1722.381640584377,-461.85570826095545,1887.0376808670637,-384.47275178684697,-401.18098724941285,58.65213598864397,87.63504612019034,-3.507831733592678,1244.1632922060455,18.3462705608938
INSTRUMENT,ETH-25SEP26-2100-P,6612.551642914226,9313.02292108602,0,0,2700.4712781717944,0,2700.4712781717944,2296.6336394482323,244.66447840981172,255.29699188599002,-30.913783322514846,-55.767756621939306,2.232256557740795,2712.14582635732,-11.67454818552551
INSTRUMENT,ETH-30OCT26-1500-C,11418.536992205027,9230.57717421596,0,0,-2187.9598179890672,0,-2187.9598179890672,-2586.2330862683384,79.88366110875145,274.4258102231025,-19.534157833944935,54.91012685825654,12.501277231041568,-2184.0463686811313,-3.9134493079359345
INSTRUMENT,ETH-30OCT26-1500-P,-1216.924782492933,-1191.5508486413692,-584.9351787849364,0.2924675893924682,-1017.2330587096343,457.6718137762616,-559.8537125227651,-514.5041421645767,-99.85457638593931,-343.032262778878,19.53063389054222,-68.63765857282067,-15.62659653880196,-1022.1246025504744,4.891543840840086
