库存流水,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
来源：企业经营数据样例/02_库存出入库流水.xlsx。保留原始逐笔记录；日期、数量、金额和比例按字段类型呈现。,,,,,,,,,,,
,,,,,,,,,,,
日期,批次号,仓库,期初库存kg,入库kg,出库kg,报损kg,期末库存kg,入库后天数,库位类型,出库去向,是否末笔
2025-08-25 00:00:00,NY-KW-2508-001,深圳龙岗前置仓,0,9000,2109,103.5,6787.5,0,冷藏库,电商发货,0
2025-08-26 00:00:00,NY-KW-2508-001,深圳龙岗前置仓,6787.5,0,1654,89.2,5044.3,1,前置仓,未分配,0
2025-08-27 00:00:00,NY-KW-2508-001,深圳龙岗前置仓,5044.3,0,1368.9,35.4,3640,2,前置仓,未分配,0
2025-08-28 00:00:00,NY-KW-2508-001,深圳龙岗前置仓,3640,0,1005.1,44.9,2590,3,暂存区,批发出库,0
2025-08-29 00:00:00,NY-KW-2508-001,广州黄埔仓,2590,0,1001.6,25.8,1562.6,4,冷藏库,批发出库,0
2025-08-30 00:00:00,NY-KW-2508-001,深圳龙岗前置仓,1562.6,0,1555.9,6.7,0,5,冷藏库,批发出库,0
2025-08-31 00:00:00,NY-KW-2508-001,南宁江南分仓,0,0,0,0,0,6,冷藏库,门店补货,1
2025-10-08 00:00:00,NY-KW-2508-002,广州黄埔仓,0,11600,1464.6,30,10105.4,0,暂存区,批发出库,0
2025-10-09 00:00:00,NY-KW-2508-002,南宁江南分仓,10105.4,0,2861.2,93.6,7150.599999999999,1,前置仓,门店补货,0
2025-10-10 00:00:00,NY-KW-2508-002,南宁江南分仓,7150.599999999999,0,1828.5,20.8,5301.299999999999,2,前置仓,门店补货,0
2025-10-11 00:00:00,NY-KW-2508-002,南宁江南分仓,5301.299999999999,0,1574.6,35.1,3691.599999999999,3,暂存区,未分配,0
2025-10-12 00:00:00,NY-KW-2508-002,深圳龙岗前置仓,3691.599999999999,0,2942.3,4.5,744.7999999999993,4,前置仓,未分配,1
2025-09-21 00:00:00,NY-KW-2508-003,南宁江南分仓,0,10000,1002.5,134.7,8862.8,0,冷藏库,仓间调拨,0
2025-09-22 00:00:00,NY-KW-2508-003,南宁江南分仓,8862.8,0,1204.5,17.9,7640.4,1,前置仓,电商发货,0
2025-09-23 00:00:00,NY-KW-2508-003,深圳龙岗前置仓,7640.4,0,1945,104.1,5591.299999999999,2,前置仓,未分配,0
2025-09-24 00:00:00,NY-KW-2508-003,深圳龙岗前置仓,5591.299999999999,0,1796.7,11.8,3782.799999999999,3,冷藏库,电商发货,0
2025-09-25 00:00:00,NY-KW-2508-003,广州黄埔仓,3782.799999999999,0,1265.4,39.7,2477.699999999999,4,暂存区,仓间调拨,0
2025-09-26 00:00:00,NY-KW-2508-003,南宁江南分仓,2477.699999999999,0,2246.5,10.7,220.4999999999994,5,暂存区,仓间调拨,0
2025-09-27 00:00:00,NY-KW-2508-003,南宁江南分仓,220.4999999999994,0,220.4999999999994,0.5,0,6,暂存区,批发出库,0
2025-09-28 00:00:00,NY-KW-2508-003,南宁江南分仓,0,0,0,0,0,7,冷藏库,门店补货,0
2025-09-29 00:00:00,NY-KW-2508-003,深圳龙岗前置仓,0,0,0,0,0,8,冷藏库,门店补货,1
2025-10-07 00:00:00,NY-KW-2508-004,广州黄埔仓,0,14000,3230.7,141.8,10627.5,0,前置仓,门店补货,0
2025-10-08 00:00:00,NY-KW-2508-004,深圳龙岗前置仓,10627.5,0,2714,115.2,7798.3,1,前置仓,批发出库,0
2025-10-09 00:00:00,NY-KW-2508-004,深圳龙岗前置仓,7798.3,0,3245.3,103.4,4449.6,2,冷藏库,批发出库,0
2025-10-10 00:00:00,NY-KW-2508-004,南宁江南分仓,4449.6,0,3064.4,5.4,1379.8,3,冷藏库,门店补货,0
2025-10-11 00:00:00,NY-KW-2508-004,深圳龙岗前置仓,1379.8,0,1362.8,17,0,4,暂存区,未分配,1
2025-09-30 00:00:00,NY-KW-2508-005,南宁江南分仓,0,19000,2105.5,237.2,16657.3,0,暂存区,批发出库,0
2025-10-01 00:00:00,NY-KW-2508-005,广州黄埔仓,16657.3,0,2860.6,72.2,13724.5,1,前置仓,电商发货,0
2025-10-02 00:00:00,NY-KW-2508-005,深圳龙岗前置仓,13724.5,0,2950.8,143.3,10630.4,2,前置仓,电商发货,0
2025-10-03 00:00:00,NY-KW-2508-005,南宁江南分仓,10630.4,0,2437.3,97.9,8095.199999999999,3,冷藏库,门店补货,0
2025-10-04 00:00:00,NY-KW-2508-005,南宁江南分仓,8095.199999999999,0,2678,67,5350.199999999999,4,前置仓,未分配,0
2025-10-05 00:00:00,NY-KW-2508-005,深圳龙岗前置仓,5350.199999999999,0,4471.4,43.7,835.0999999999992,5,冷藏库,未分配,0
2025-10-06 00:00:00,NY-KW-2508-005,南宁江南分仓,835.0999999999992,0,833.6,1.5,0,6,暂存区,未分配,0
2025-10-07 00:00:00,NY-KW-2508-005,南宁江南分仓,0,0,0,0,0,7,冷藏库,批发出库,0
2025-10-08 00:00:00,NY-KW-2508-005,南宁江南分仓,0,0,0,0,0,8,冷藏库,仓间调拨,1
2025-09-03 00:00:00,NY-KW-2508-006,深圳龙岗前置仓,0,16400,3858,64.4,12477.6,0,冷藏库,仓间调拨,0
2025-09-04 00:00:00,NY-KW-2508-006,广州黄埔仓,12477.6,0,2121.6,20.7,10335.3,1,冷藏库,电商发货,0
2025-09-05 00:00:00,NY-KW-2508-006,南宁江南分仓,10335.3,0,2041.3,15.7,8278.3,2,前置仓,门店补货,0
2025-09-06 00:00:00,NY-KW-2508-006,广州黄埔仓,8278.3,0,2457.7,96.9,5723.7,3,暂存区,电商发货,0
2025-09-07 00:00:00,NY-KW-2508-006,广州黄埔仓,5723.7,0,2218.8,31.2,3473.7,4,前置仓,批发出库,0
2025-09-08 00:00:00,NY-KW-2508-006,深圳龙岗前置仓,3473.7,0,3356.1,6.8,110.7999999999999,5,冷藏库,批发出库,0
2025-09-09 00:00:00,NY-KW-2508-006,广州黄埔仓,110.7999999999999,0,110.2,0.6,0,6,暂存区,电商发货,0
2025-09-10 00:00:00,NY-KW-2508-006,广州黄埔仓,0,0,0,0,0,7,暂存区,未分配,1
2025-09-24 00:00:00,NY-KW-2508-007,广州黄埔仓,0,19400,2824.4,113,16462.6,0,暂存区,电商发货,0
2025-09-25 00:00:00,NY-KW-2508-007,深圳龙岗前置仓,16462.6,0,2164.3,121,14177.3,1,冷藏库,批发出库,0
2025-09-26 00:00:00,NY-KW-2508-007,深圳龙岗前置仓,14177.3,0,2762.6,23.5,11391.2,2,冷藏库,电商发货,0
2025-09-27 00:00:00,NY-KW-2508-007,深圳龙岗前置仓,11391.2,0,2665.7,43.6,8681.9,3,冷藏库,批发出库,0
2025-09-28 00:00:00,NY-KW-2508-007,南宁江南分仓,8681.9,0,1959.7,65.1,6657.099999999999,4,暂存区,仓间调拨,0
2025-09-29 00:00:00,NY-KW-2508-007,南宁江南分仓,6657.099999999999,0,4780.6,33.7,1842.799999999999,5,前置仓,门店补货,1
