trade_id,timestamp,instrument_name,side,quantity,execution_price_usd,fee_usd
T101,2026-08-08T18:23:35.969048Z,BTC-14AUG26-65000-C,SELL,1.0,879.705135824029,0.4398525679120145
T102,2026-08-08T19:23:35.969048Z,BTC-14AUG26-65000-C,BUY,0.4,934.1198864935566,0.18682397729871134
T103,2026-08-08T20:23:35.969048Z,BTC-14AUG26-65000-P,SELL,1.5,778.1757427190556,0.5836318070392917
T104,2026-08-08T21:23:35.969048Z,BTC-25SEP26-58000-C,BUY,2.0,8534.994820643984,8.534994820643984
T105,2026-08-08T23:23:35.969048Z,BTC-25SEP26-72000-C,SELL,0.75,917.0396557055963,0.3438898708895986
T106,2026-08-09T00:23:35.969048Z,BTC-25SEP26-72000-P,BUY,2.25,7731.178407529208,8.697575708470358
T107,2026-08-09T01:23:35.969048Z,BTC-30OCT26-78000-P,BUY,1.0,13601.838766775518,6.800919383387759
T108,2026-08-09T03:23:35.969048Z,ETH-14AUG26-1920-C,BUY,20.0,37.05851531870356,0.37058515318703567
T109,2026-08-09T04:23:35.969048Z,ETH-14AUG26-1920-C,SELL,12.0,34.89976685353637,0.20939860112121825
T110,2026-08-09T05:23:35.969048Z,ETH-14AUG26-1920-P,SELL,16.0,32.11610865720508,0.25692886925764064
T111,2026-08-09T06:23:35.969048Z,ETH-25SEP26-1700-C,BUY,10.0,285.2117604903483,1.4260588024517415
T112,2026-08-09T08:23:35.969048Z,ETH-25SEP26-2100-C,BUY,56.0,70.84394441134899,1.9836304435177718
T113,2026-08-09T10:23:35.969048Z,ETH-30OCT26-2300-C,BUY,28.0,71.94098918386811,1.0071738485741535
T114,2026-08-09T12:23:35.969048Z,ETH-30OCT26-1500-P,BUY,14.0,41.78108419892403,0.2924675893924682
T115,2026-08-09T14:23:35.969048Z,ETH-30OCT26-2300-P,SELL,48.0,414.60485978829985,9.950516634919197
