aggregation_level,instrument_name,valuation_state,valuation_timestamp_utc,quantity,contract_multiplier,unit_delta,unit_gamma,unit_vega_decimal,unit_vega_1vol,unit_theta_year,unit_theta_day,unit_vanna,unit_volga,position_delta,position_gamma,position_vega_decimal,position_vega_1vol,position_theta_year,position_theta_day,position_vanna,position_volga
INSTRUMENT,BTC-14AUG26-65000-C,t0,2026-08-08T17:23:35.969048Z,2.5,1.0,0.5260621861763384,0.00018590480133095756,3210.7677116308987,32.107677116308984,-225101.72292492312,-616.7170491093784,-6.0351008848272355e-06,25.665417334494038,1.315155465440846,0.0004647620033273939,8026.919279077247,80.26919279077246,-562754.3073123078,-1541.792622773446,-1.5087752212068088e-05,64.1635433362351
INSTRUMENT,BTC-14AUG26-65000-C,t1,2026-08-09T17:23:35.969048Z,1.9,1.0,0.99580118389196,6.2819025882885295e-06,97.24265256842607,0.9724265256842607,-11174.818133387256,-30.615940091471934,-1.638000327254229e-05,2666.7796458362395,1.892022249394724,1.1935614917748206e-05,184.76103988000952,1.8476103988000951,-21232.154453435785,-58.170286173796676,-3.112200621783035e-05,5066.881327088855
INSTRUMENT,BTC-14AUG26-65000-P,t0,2026-08-08T17:23:35.969048Z,-2.0,1.0,-0.5260621861763384,0.00018590480133095756,3210.7677116308987,32.107677116308984,-222503.32050402023,-609.5981383671788,-6.0351008848272355e-06,25.665417334494038,1.0521243723526768,-0.00037180960266191513,-6421.535423261797,-64.21535423261797,445006.64100804046,1219.1962767343575,1.2070201769654471e-05,-51.330834668988075
INSTRUMENT,BTC-14AUG26-65000-P,t1,2026-08-09T17:23:35.969048Z,-3.5,1.0,-0.99580118389196,6.2819025882885295e-06,97.24265256842607,0.9724265256842607,-8576.130940451018,-23.496249151920598,-1.638000327254229e-05,2666.7796458362395,3.4853041436218604,-2.1986659059009853e-05,-340.34928398949125,-3.4034928398949122,30016.45829157856,82.23687203172209,5.733001145389802e-05,-9333.728760426839
INSTRUMENT,BTC-25SEP26-58000-C,t0,2026-08-08T17:23:35.969048Z,-1.5,1.0,0.8240745370917788,2.849223898222927e-05,6077.643210910388,60.77643210910388,-26732.86395413349,-73.24072316200956,-2.255132390322739e-05,11593.325182822913,-1.2361118056376683,-4.273835847334391e-05,-9116.464816365582,-91.16464816365581,40099.295931200235,109.86108474301435,3.3826985854841086e-05,-17389.98777423437
INSTRUMENT,BTC-25SEP26-58000-C,t1,2026-08-09T17:23:35.969048Z,0.5,1.0,0.9395671828535478,1.3234278486221734e-05,2994.1933957723863,29.941933957723865,-14011.13452703196,-38.38666993707386,-1.881564235804503e-05,18232.846029572363,0.4697835914267739,6.617139243110867e-06,1497.0966978861932,14.970966978861933,-7005.56726351598,-19.19333496853693,-9.407821179022515e-06,9116.423014786182
INSTRUMENT,BTC-25SEP26-58000-P,t0,2026-08-08T17:23:35.969048Z,1.25,1.0,-0.8240745370917788,2.849223898222927e-05,6077.643210910388,60.77643210910388,-24424.936758952415,-66.91763495603402,-2.255132390322739e-05,11593.325182822913,-1.0300931713647234,3.561529872778659e-05,7597.054013637985,75.97054013637985,-30531.17094869052,-83.64704369504253,-2.818915487903424e-05,14491.656478528641
INSTRUMENT,BTC-25SEP26-58000-P,t1,2026-08-09T17:23:35.969048Z,1.25,1.0,-0.9395671828535478,1.3234278486221734e-05,2994.1933957723863,29.941933957723865,-11702.954394463317,-32.06288875195429,-1.881564235804503e-05,18232.846029572363,-1.1744589785669348,1.654284810777717e-05,3742.741744715483,37.42741744715483,-14628.692993079147,-40.07861093994286,-2.3519552947556286e-05,22791.057536965454
INSTRUMENT,BTC-25SEP26-72000-C,t0,2026-08-08T17:23:35.969048Z,2.0,1.0,0.22530694466350387,3.9060723796704885e-05,7052.968656018671,70.52968656018672,-25027.96342354433,-68.56976280423105,3.4080106206929724e-05,14196.520489908775,0.45061388932700774,7.812144759340977e-05,14105.937312037342,141.05937312037344,-50055.92684708866,-137.1395256084621,6.816021241385945e-05,28393.04097981755
INSTRUMENT,BTC-25SEP26-72000-C,t1,2026-08-09T17:23:35.969048Z,1.25,1.0,0.42582563880889357,5.5749624962440615e-05,9798.428351539156,97.98428351539157,-31314.875640498223,-85.79417983698143,1.6030663897651014e-05,1872.8470808400332,0.5322820485111169,6.968703120305078e-05,12248.035439423946,122.48035439423946,-39143.59455062278,-107.24272479622678,2.0038329872063767e-05,2341.0588510500415
INSTRUMENT,BTC-25SEP26-72000-P,t0,2026-08-08T17:23:35.969048Z,-1.75,1.0,-0.22530694466350387,3.9060723796704885e-05,7052.968656018671,70.52968656018672,-22162.950353664375,-60.7204119278476,3.4080106206929724e-05,14196.520489908775,0.3942871531611318,-6.835626664423354e-05,-12342.695148032675,-123.42695148032675,38785.16311891266,106.2607208737333,-5.964018586212702e-05,-24843.910857340357
INSTRUMENT,BTC-25SEP26-72000-P,t1,2026-08-09T17:23:35.969048Z,0.5,1.0,-0.42582563880889357,5.5749624962440615e-05,9798.428351539156,97.98428351539157,-28449.548579378526,-77.9439687106261,1.6030663897651014e-05,1872.8470808400332,-0.21291281940444678,2.7874812481220308e-05,4899.214175769578,48.992141757695784,-14224.774289689263,-38.97198435531305,8.015331948825507e-06,936.4235404200166
INSTRUMENT,BTC-30OCT26-52000-C,t0,2026-08-08T17:23:35.969048Z,-1.0,1.0,0.8853221590459184,1.3988026648466835e-05,5996.200586224169,59.96200586224169,-14186.65805402971,-38.86755631241016,-1.3836618305670845e-05,15935.491653953923,-0.8853221590459184,-1.3988026648466835e-05,-5996.200586224169,-59.96200586224169,14186.65805402971,38.86755631241016,1.3836618305670845e-05,-15935.491653953923
INSTRUMENT,BTC-30OCT26-52000-C,t1,2026-08-09T17:23:35.969048Z,-1.0,1.0,0.9483083128400227,7.579366171011373e-06,3502.5951093522804,35.025951093522806,-8902.178978095253,-24.38953144683631,-1.0830149612311135e-05,19293.822038671926,-0.9483083128400227,-7.579366171011373e-06,-3502.5951093522804,-35.025951093522806,8902.178978095253,24.38953144683631,1.0830149612311135e-05,-19293.822038671926
INSTRUMENT,BTC-30OCT26-52000-P,t0,2026-08-08T17:23:35.969048Z,1.5,1.0,-0.8853221590459184,1.3988026648466835e-05,5996.200586224169,59.96200586224169,-12125.403312521881,-33.22028304800516,-1.3836618305670845e-05,15935.491653953923,-1.3279832385688777,2.0982039972700253e-05,8994.300879336253,89.94300879336254,-18188.10496878282,-49.830424572007736,-2.0754927458506267e-05,23903.237480930882
INSTRUMENT,BTC-30OCT26-52000-P,t1,2026-08-09T17:23:35.969048Z,1.5,1.0,-0.9483083128400227,7.579366171011373e-06,3502.5951093522804,35.025951093522806,-6840.698333278813,-18.74163926925702,-1.0830149612311135e-05,19293.822038671926,-1.422462469260034,1.136904925651706e-05,5253.892664028421,52.53892664028421,-10261.047499918219,-28.112458903885532,-1.62452244184667e-05,28940.73305800789
INSTRUMENT,BTC-30OCT26-78000-C,t0,2026-08-08T17:23:35.969048Z,1.25,1.0,0.17625584300431046,2.3439624957560556e-05,8015.321156115014,80.15321156115014,-13704.091356016726,-37.54545576990884,2.5772306874098015e-05,22957.952302017376,0.22031980375538807,2.9299531196950696e-05,10019.151445143767,100.19151445143768,-17130.11419502091,-46.93181971238605,3.221538359262252e-05,28697.44037752172
INSTRUMENT,BTC-30OCT26-78000-C,t1,2026-08-09T17:23:35.969048Z,1.25,1.0,0.25603325266251803,3.331836894745208e-05,10642.575210890289,106.42575210890288,-15358.943198273413,-42.07929643362579,2.6444926747038915e-05,18964.792257208337,0.3200415658281475,4.16479611843151e-05,13303.219013612861,133.0321901361286,-19198.678997841766,-52.59912054203224,3.305615843379864e-05,23705.99032151042
