aggregation_level,instrument_name,beginning_market_value_usd,ending_market_value_usd,trade_cashflow_usd,fees_usd,carry_actual_pnl_usd,trade_to_t1_pnl_usd,total_pnl_usd,delta_pnl_usd,gamma_pnl_usd,vega_pnl_usd,theta_pnl_usd,vanna_pnl_usd,volga_pnl_usd,explained_pnl_usd,residual_pnl_usd
INSTRUMENT,BTC-14AUG26-65000-C,2267.281277896982,9461.99712915915,506.0571812266063,0.6266765452107258,10182.714944680847,-2481.941912192073,7700.146355943563,6417.7676450199615,5533.684698319399,-119.60522676234667,-1541.7926227734458,0.0010970658629780952,0.007122965976266278,10290.062713835407,-107.3477691545595
INSTRUMENT,BTC-14AUG26-65000-P,-1604.4860674619704,-9.077468529786302,1167.2636140785835,0.5836318070392917,1599.2989425878068,1163.3732704229608,2762.088581203728,5134.214116015969,-4426.9477586555195,95.68418140987734,1219.1962767343575,-0.0008776526903824762,-0.005698372781013022,2022.1402394792128,-422.84129689140605
INSTRUMENT,BTC-25SEP26-58000-C,-12429.604107733958,6244.103061665835,-17069.989641287968,8.534994820643984,-6302.705077263548,7906.422605375374,1595.1825332911812,-6032.046066272042,-508.86388866138327,220.08967094590534,109.86108474301435,-0.003985138302730475,-5.067755840062431,-6216.0309402228695,-86.67413704067894
INSTRUMENT,BTC-25SEP26-58000-P,1149.8157725202077,310.1558594346966,0.0,0.0,-839.6599130855111,0.0,-839.6599130855111,-5026.705055226701,424.0532405511528,-183.4080591215878,-83.64704369504253,0.0033209485856087293,4.2231298667186925,-4865.480466676874,4025.820553591363
INSTRUMENT,BTC-25SEP26-72000-C,1890.8034138259754,2591.4353347784618,687.7797417791971,0.3438898708895986,2255.4931218195634,-867.0814590878799,1388.0677728607939,2198.9303282483693,930.1523275638484,-644.063434634518,-137.1395256084621,-0.015186738843413311,29.596155606300655,2377.4606644366945,-121.96754261713113
INSTRUMENT,BTC-25SEP26-72000-P,-13135.497294345741,1880.870022907573,-17395.151416940716,8.697575708470358,6552.452214169236,-8931.23631385664,-2387.481675395872,1924.064037217323,-813.8832866183674,563.5555053052033,106.2607208737333,0.013288396487986647,-25.896636155513075,1754.113629018867,4798.338585150369
INSTRUMENT,BTC-30OCT26-52000-C,-14383.298582634714,-18735.453106490786,0.0,0.0,-4352.154523856072,0.0,-4352.154523856072,-4320.243543100472,-166.54831606313138,149.42778643817047,38.867556312410166,-0.0016826433232540606,-4.948184591271861,-4303.446383647618,-48.7081402084541
INSTRUMENT,BTC-30OCT26-52000-P,1274.9056804956012,491.82671535271925,0.0,0.0,-783.078965142882,0.0,-783.078965142882,-6480.3653146507095,249.82247409469707,-224.1416796572557,-49.83042457200773,0.002523964984881091,7.422276886907791,-6497.090143933383,5714.011178790501
INSTRUMENT,BTC-30OCT26-78000-C,1216.6823738297398,1736.4968610975802,0.0,0.0,519.8144872678404,0.0,519.8144872678404,1075.1286408747965,348.8546100837014,-650.0487310669694,-46.93181971238605,-0.010199647806069943,60.400858824180304,787.3933593555166,-267.57887208767625
INSTRUMENT,BTC-30OCT26-78000-P,-13205.668705607299,0.0,-13601.838766775518,6.800919383387759,4455.531786112704,-4851.701847280923,-402.9709805516068,860.1029126998371,-279.0836880669611,520.0389848535755,29.07454587330133,0.008159718244855955,-48.32068705934424,1081.8202280186536,3373.711558094051
